data,unidade_federativa,producao
jan/15,Tocantins,2117483.0
jan/15,Piaui,2034457.0
jan/15,Bahia,4517174.0
jan/15,Mato Grosso,27375834.0
fev/15,Tocantins,2118983.0
fev/15,Piaui,1781259.0
fev/15,Bahia,4517174.0
fev/15,Mato Grosso,27375834.0
mar/15,Tocantins,2118983.0
mar/15,Piaui,1839170.0
mar/15,Bahia,4517174.0
mar/15,Mato Grosso,27646760.0
abr/15,Tocantins,2118983.0
abr/15,Piaui,1839170.0
abr/15,Bahia,4516096.0
abr/15,Mato Grosso,27646760.0
mai/15,Tocantins,2118983.0
mai/15,Piaui,1800763.0
mai/15,Bahia,4503577.0
mai/15,Mato Grosso,27603524.0
jun/15,Tocantins,2118983.0
jun/15,Piaui,1800763.0
jun/15,Bahia,4503577.0
jun/15,Mato Grosso,27627757.0
jul/15,Tocantins,2173928.0
jul/15,Piaui,1800763.0
jul/15,Bahia,4503577.0
jul/15,Mato Grosso,27692453.0
ago/15,Tocantins,2173928.0
ago/15,Piaui,1772722.0
ago/15,Bahia,4503577.0
ago/15,Mato Grosso,27766988.0
set/15,Tocantins,2233999.0
set/15,Piaui,1772722.0
set/15,Bahia,4503577.0
set/15,Mato Grosso,27872759.0
out/15,Tocantins,2233999.0
out/15,Piaui,1772722.0
out/15,Bahia,4507377.0
out/15,Mato Grosso,27766988.0
nov/15,Tocantins,2319449.0
nov/15,Piaui,1772722.0
nov/15,Bahia,4507377.0
nov/15,Mato Grosso,27766988.0
dez/15,Tocantins,2399231.0
dez/15,Piaui,1772722.0
dez/15,Bahia,4507377.0
dez/15,Mato Grosso,27766988.0
jan/16,Tocantins,2291935.0
fev/16,Tocantins,2291935.0
mar/16,Tocantins,2084155.0
abr/16,Tocantins,2084155.0
mai/16,Tocantins,1830260.0
jun/16,Tocantins,1748506.0
jul/16,Tocantins,1748506.0
ago/16,Tocantins,1748696.0
set/16,Tocantins,1748696.0
out/16,Tocantins,1748696.0
nov/16,Tocantins,1749873.0
dez/16,Tocantins,1809384.0
jan/16,Piaui,1812060.0
fev/16,Piaui,1790010.0
mar/16,Piaui,1107484.0
abr/16,Piaui,1107484.0
mai/16,Piaui,644263.0
jun/16,Piaui,644263.0
jul/16,Piaui,644263.0
ago/16,Piaui,644263.0
set/16,Piaui,644263.0
out/16,Piaui,644263.0
nov/16,Piaui,644263.0
dez/16,Piaui,644263.0
jan/16,Bahia,4716000.0
fev/16,Bahia,4716000.0
mar/16,Bahia,4307033.0
abr/16,Bahia,3935269.0
mai/16,Bahia,3141881.0
jun/16,Bahia,3141881.0
jul/16,Bahia,3141881.0
ago/16,Bahia,3212600.0
set/16,Bahia,3212600.0
out/16,Bahia,3212600.0
nov/16,Bahia,3212600.0
dez/16,Bahia,3212600.0
jan/16,Mato Grosso,28449773.0
fev/16,Mato Grosso,27822984.0
mar/16,Mato Grosso,27888555.0
abr/16,Mato Grosso,27600080.0
mai/16,Mato Grosso,27133796.0
jun/16,Mato Grosso,27133796.0
jul/16,Mato Grosso,26886734.0
ago/16,Mato Grosso,26886734.0
set/16,Mato Grosso,26385714.0
out/16,Mato Grosso,26277753.0
nov/16,Mato Grosso,26277753.0
dez/16,Mato Grosso,26277753.0
jan/17,Tocantins,2350170.0
jan/17,Piau,2123970.0
jan/17,Bahia,4812000.0
jan/17,Mato Grosso,29875115.0
fev/17,Tocantins,2350170.0
fev/17,Piaui,2121894.0
fev/17,Bahia,4812000.0
fev/17,Mato Grosso,29905165.0
mar/17,Tocantins,2382084.0
mar/17,Piaui,2207204.0
mar/17,Bahia,4717600.0
mar/17,Mato Grosso,30952147.0
abr/17,Tocantins,2382084.0
abr/17,Piaui,2207204.0
abr/17,Bahia,4849200.0
abr/17,Mato Grosso,30952147.0
mai/17,Tocantins,2399620.0
mai/17,Piaui,2013162.0
mai/17,Bahia,4849200.0
mai/17,Mato Grosso,30744457.0
jun/17,Tocantins,2406620.0
jun/17,Piaui,2013162.0
jun/17,Bahia,5230800.0
jun/17,Mato Grosso,30744457.0
jul/17,Tocantins,2407693.0
jul/17,Piaui,2013162.0
jul/17,Bahia,5136000.0
jul/17,Mato Grosso,30709105.0
ago/17,Tocantins,2423288.0
ago/17,Piaui,2010349.0
ago/17,Bahia,5136000.0
ago/17,Mato Grosso,30709105.0
set/17,Tocantins,2423288.0
set/17,Piaui,2010349.0
set/17,Bahia,5136000.0
set/17,Mato Grosso,30634224.0
out/17,Tocantins,2423288.0
out/17,Piaui,2010349.0
out/17,Bahia,5136000.0
out/17,Mato Grosso,30479870.0
nov/17,Tocantins,2412227.0
nov/17,Piaui,2009797.0
nov/17,Bahia,5136000.0
nov/17,Mato Grosso,30479870.0
dez/17,Tocantins,2471000.0
dez/17,Piaui,2020195.0
dez/17,Bahia,5136000.0
dez/17,Mato GrossoSoja,30479870.0
jan/18,Tocantins,2597209.0
jan/18,Piaui,2261037.0
jan/18,Bahia,4716000.0
jan/18,Mato Grosso,30718544.0
fev/18,Tocantins,2597209.0
fev/18,Piaui,2261037.0
fev/18,Bahia,4692000.0
fev/18,Mato Grosso,30718544.0
mar/18,Tocantins,2597209.0
mar/18,Piaui,2372845.0
mar/18,Bahia,5088800.0
mar/18,Mato Grosso,31200341.0
abr/18,Tocantins,2672231.0
abr/18,Piaui,2372845.0
abr/18,Bahia,5088800.0
abr/18,Mato Grosso,31200341.0
mai/18,Tocantins,2579735.0
mai/18,Piaui,2372330.0
mai/18,Bahia,5088800.0
mai/18,Mato Grosso,31420627.0
jun/18,Tocantins,2586846.0
jun/18,Piaui,2372330.0
jun/18,Bahia,5572800.0
jun/18,Mato Grosso,31420627.0
jul/18,Tocantins,2512541.0
jul/18,Piaui,2372330.0
jul/18,Bahia,5767200.0
jul/18,Mato Grosso,31577157.0
ago/18,Tocantins,2516266.0
ago/18,Piaui,2469650.0
ago/18,Bahia,5767200.0
ago/18,Mato Grosso,31577157.0
set/18,Tocantins,2516266.0
set/18,Piaui,2469650.0
set/18,Bahia,5767200.0
set/18,Mato Grosso,31608562.0
out/18,Tocantins,2516266.0
out/18,Piaui,2469650.0
out/18,Bahia,6244800.0
out/18,Mato Grosso,31608562.0
nov/18,Tocantins,2516266.0
nov/18,Piaui,2469650.0
nov/18,Bahia,6244800.0
nov/18,Mato Grosso,31608562.0
dez/18,Tocantins,2582640.0
dez/18,Piaui,2469650.0
dez/18,Bahia,6244800.0
dez/18,Mato Grosso,31608562.0
jan/19,Tocantins,2691155.0
jan/19,Piaui,2566297.0
jan/19,Bahia,4944000.0
jan/19,Mato Grosso,31452680.0
fev/19,Tocantins,2691155.0
fev/19,Piaui,2566297.0
fev/19,Bahia,4944000.0
fev/19,Mato Grosso,31452680.0
mar/19,Tocantins,2691155.0
mar/19,Piaui,2377884.0
mar/19,Bahia,4936800.0
mar/19,Mato Grosso,31979508.0
abr/19,Tocantins,2747777.0
abr/19,Piaui,2377884.0
abr/19,Bahia,4936800.0
abr/19,Mato Grosso,31979508.0
mai/19,Tocantins,2747777.0
mai/19,Piaui,2377884.0
mai/19,Bahia,4936800.0
mai/19,Mato Grosso,32068760.0
jun/19,Tocantins,2747777.0
jun/19,Piaui,2377884.0
jun/19,Bahia,4936800.0
jun/19,Mato Grosso,32068760.0
jul/19,Tocantins,2597921.0
jul/19,Piaui,2377884.0
jul/19,Bahia,5258000.0
jul/19,Mato Grosso,32591956.0
ago/19,Tocantins,2585960.0
ago/19,Piaui,2324775.0
ago/19,Bahia,5258000.0
ago/19,Mato Grosso,32591956.0
set/19,Tocantins,2601282.0
set/19,Piaui,2324775.0
set/19,Bahia,5258000.0
set/19,Mato Grosso,32219356.0
out/19,Tocantins,2614410.0
out/19,Piaui,2324775.0
out/19,Bahia,5258000.0
out/19,Mato Grosso,32219356.0
nov/19,Tocantins,2617984.0
nov/19,Piaui,2325951.0
nov/19,Bahia,5258000.0
nov/19,Mato Grosso,32250783.0
dez/19,Tocantins,2617984.0
dez/19,Piaui,2325951.0
dez/19,Bahia,5309400.0
dez/19,Mato Grosso,32250783.0
jan/20,Tocantins,2892637.0
jan/20,Piaui,2562143.0
jan/20,Bahia,5300000.0
jan/20,Mato Grosso,33833303.0
fev/20,Tocantins,2884588.0
fev/20,Piaui,2562143.0
fev/20,Bahia,5522000.0
fev/20,Mato Grosso,33833303.0
mar/20,Tocantins,2884588.0
mar/20,Piaui,2520288.0
mar/20,Bahia,5522000.0
mar/20,Mato Grosso,34716253.0
abr/20,Tocantins,2884588.0
abr/20,Piaui,2520288.0
abr/20,Bahia,5681000.0
abr/20,Mato Grosso,34716253.0
mai/20,Tocantins,2884588.0
mai/20,Piaui,2520288.0
mai/20,Bahia,5807000.0
mai/20,Mato Grosso,34815101.0
jun/20,Tocantins,2884588.0
jun/20,Piaui,2520288.0
jun/20,Bahia,6027500.0
jun/20,Mato Grosso,34815101.0
jul/20,Tocantins,3053809.0
jul/20,Piaui,2447892.0
jul/20,Bahia,6027500.0
jul/20,Mato Grosso,34847949.0
ago/20,Tocantins,3050483.0
ago/20,Piaui,2447892.0
ago/20,Bahia,6027500.0
ago/20,Mato Grosso,34847949.0
set/20,Tocantins,3050483.0
set/20,Piaui,2447892.0
set/20,Bahia,6120000.0
set/20,Mato Grosso,35070044.0
out/20,Tocantins,3051664.0
out/20,Piaui,2447892.0
out/20,Bahia,6070000.0
out/20,Mato Grosso,35070044.0
nov/20,Tocantins,3051664.0
nov/20,Piaui,2447620.0
nov/20,Bahia,6070000.0
nov/20,Mato Grosso,35070044.0
dez/20,Tocantins,3055467.0
dez/20,Piaui,2447620.0
dez/20,Bahia,6070000.0
dez/20,Mato Grosso,35070044.0
jan/21,Tocantins,2863204.0
fev/21,Tocantins,2863204.0
mar/21,Tocantins,2863204.0
abr/21,Tocantins,2863204.0
mai/21,Tocantins,2863204.0
jun/21,Tocantins,2863204.0
jul/21,Tocantins,2863204.0
ago/21,Tocantins,2863204.0
set/21,Tocantins,2863204.0
out/21,Tocantins,2863204.0
nov/21,Tocantins,2863204.0
dez/21,Tocantins,3557545.0
jan/22,Tocantins,3020792.0
fev/22,Tocantins,3264758.0
mar/22,Tocantins,3264758.0
abr/22,Tocantins,3264758.0
mai/22,Tocantins,3264758.0
jun/22,Tocantins,3300708.0
jul/22,Tocantins,3369389.0
ago/22,Tocantins,3369389.0
set/22,Tocantins,3369389.0
out/22,Tocantins,3369389.0
nov/22,Tocantins,3369389.0
dez/22,Tocantins,3369389.0
jan/23,Tocantins,3999595.0
fev/23,Tocantins,3999595.0
mar/23,Tocantins,3999595.0
abr/23,Tocantins,3999595.0
mai/23,Tocantins,3999595.0
jun/23,Tocantins,4265161.0
jul/23,Tocantins,4265161.0
ago/23,Tocantins,4265161.0
set/23,Tocantins,4288658.0
out/23,Tocantins,4288658.0
nov/23,Tocantins,4288658.0
